ds,yhat,yhat_lower,yhat_upper
2022-10-01,7509604.836535081,,
2022-10-02,6357167.899293095,,
2022-10-03,6078309.80207254,,
2022-10-04,6072277.852021526,,
2022-10-05,6313566.291164351,,
2022-10-06,8076329.011075028,,
2022-10-07,8692754.498290285,,
2022-10-08,8479047.48582269,,
2022-10-09,7180175.354415884,,
2022-10-10,6645517.172571947,,
2022-10-11,6615404.571923692,,
2022-10-12,6901544.324770586,,
2022-10-13,8459156.506858531,,
2022-10-14,9038937.21527163,,
2022-10-15,8711595.078566112,,
2022-10-16,7341326.008792093,,
2022-10-17,6787879.71514423,,
2022-10-18,6436996.2709038155,,
2022-10-19,6594281.873146338,,
2022-10-20,7837190.202720229,,
2022-10-21,8512796.376383012,,
2022-10-22,8540738.684767026,,
2022-10-23,7461922.650595675,,
2022-10-24,6771231.763062985,,
2022-10-25,6116674.845920813,,
2022-10-26,6206805.870042699,,
2022-10-27,7104531.0057115,,
2022-10-28,7943531.003414873,,
2022-10-29,7620621.88890309,,
2022-10-30,6606953.555843159,,
2022-10-31,6069046.1751634525,,
